seminar_id,university,discipline,seminar_name,treatment,clicked,num_click_sources
3172eb-4eb59c-6d,Massachusetts Institute of Technology,Mathematics,Number Theory Seminar,0,1,1
31af6b-9eda67-bd,Washington State University,Mechanical Engineering,Seminar Series,0,0,0
31cb93-c5a3b5-0d,Texas A&M University,Mathematics,Topology Seminar,1,1,1
31d1bf-c8cda1-72,"University of Maryland, College Park",Physics,Plasma Physics,0,1,1
31daa5-e2bf52-58,University of Arizona,Chemistry,CBC Department Special Seminar,0,0,0
31f5df-7d1f95-e8,University of Massachusetts Amherst,Mathematics,Valley Geometry Seminar,0,1,1
31fb32-d7d59c-ce,Auburn University,Mechanical Engineering,Jack and Ann Waddey Invited Seminar Series,0,0,0
322353-7d6bc3-74,Harvard University,Mechanical Engineering,Applied Physics and Applied Mechanics Colloquiua,0,1,1
325fbe-cc2767-3f,Vanderbilt University,Mechanical Engineering,VISE Seminar Series,0,0,0
32cc6a-0513fa-6d,Massachusetts Institute of Technology,Mathematics,Infinite-Dimensional Algebra Seminar,0,1,1
32cf26-167464-a0,Wayne State University,Physics,Condensed Matter & Biophysics Seminars,1,0,0
32d74d-11aee9-20,Mississippi State University,Chemistry,Department Seminars,1,0,0
32dc5a-cfc26b-82,University of South Carolina,Mathematics,"Algebraic Geometry, Commutative Algebra and Number Theory Seminar",0,0,0
32eef3-56f794-51,University of Iowa,Chemistry,Colloquium,0,1,1
331817-d30ba9-50,"University of California, Irvine",Mathematics,Colloquium,0,1,1
333e3d-08f9ee-03,Ohio State University,Chemistry,Analytical/Physical Seminars,1,0,0
3351f6-ea5f02-59,Carnegie Mellon University,Mathematics,Math Colloquium,1,0,0
3372e0-993a9f-54,California Institute of Technology,Mathematics,Number Theory Seminars,0,0,0
338895-06c1c2-6e,Pennsylvania State University,Mathematics,Logic Seminar,0,0,0
338bb0-beb76d-55,University of Michigan,Chemistry,Chemical Biology Events,1,1,1
33e8d2-9520a6-58,Indiana University Bloomington,Mathematics,Algebra Seminar,1,1,1
33f1bf-d6aad8-24,University of Colorado Boulder,Mathematics,Functional Analysis Seminar,0,0,0
33fc23-5ce873-c6,Rensselaer Polytechnic Institute,Chemistry,Department of Chemistry Seminar Series,1,1,1
34256f-a76b94-21,Columbia University,Physics,Theory Seminars,1,1,1
342c05-4fdeb2-42,"University of California, Irvine",Mathematics,Algebraic Geometry Seminar,0,1,1
344d47-ddc31a-c1,"University of California, Los Angeles",Physics,Physics & Astronomy Colloquium,1,1,1
3470dc-a2d8f8-6c,University of New Mexico,Mathematics,Colloquium,0,1,1
34f319-f60689-24,University of Montana,Chemistry,Seminar Series,1,0,0
34f9d5-1cb21a-dc,North Dakota State University,Mathematics,Algebra & Discrete Mathematics Seminar,1,0,0
350cbd-691de9-a7,"University of California, Santa Barbara",Chemistry,Physical Chemistry Seminar,1,1,1
3562af-e9bbdc-20,University of Arizona,Mathematics,Mathematics Colloquium,1,1,1
35692c-476f38-99,University of Illinois Urbana-Champaign,Chemistry,Analytical Chemistry Seminars,0,0,0
3596ae-145d30-74,University of Miami,Chemistry,Seminars,0,1,1
35dd3e-ffece6-a3,Stanford University,Chemistry,Chemical Biology Seminar,1,1,2
35df9c-dcc9b8-c4,"University of California, Davis",Mathematics,Probability Seminar,0,1,2
363e0a-2f1b83-4f,Iowa State University,Chemistry,Physical and Theoretical Chemistry Seminar,0,0,0
368b9b-4d1a71-f2,Massachusetts Institute of Technology,Physics,Lunchtime Seminars,1,1,2
36a4dc-0708fc-8f,George Washington University,Mathematics,Applied Math Seminar,0,1,1
36c29a-656e79-c3,Louisiana State University,Mathematics,Geometry and Topology Seminar,1,1,1
36cd78-71dc6d-af,University of Colorado Denver,Mathematics,Colloquium,1,0,0
36eec5-bdf308-79,Virginia Tech,Mechanical Engineering,Distinguished Speaker Series,0,1,1
36f770-e8b3fd-bb,Iowa State University,Computer Science,CS Colloquium,0,0,0
3700fe-f4cd9d-a2,University of South Florida,Mathematics,Department Colloquiua,0,1,1
370ffe-0c9f95-45,Virginia Tech,Chemistry,Seminar Schedule,1,1,1
372723-9be494-8a,"University of California, Riverside",Physics,Astronomy Seminar,0,1,1
374d2a-b3662d-de,Emory University,Mathematics,Numerical Analysis and Scientific Computing Seminar,1,0,0
374dd7-1d0a88-f1,"University of California, Berkeley",Mathematics,Guest Lecture Series,1,1,1
377535-0cdc03-c8,Johns Hopkins University,Physics,JHU/STScI CAS Wine & Cheese Seminars,0,0,0
37799a-16ba7d-59,George Mason University,Mathematics,"Combinatorics, Algebra, and Geometry Seminar (CAGS)",0,0,0
37c980-595548-34,University of South Florida,Mathematics,Geometry/Topology,0,1,1
3846db-b3df00-61,University of Central Florida,Mathematics,Mathematical Biology Seminar,1,0,0
385dcb-1da035-1c,Stanford University,Mathematics,Analysis & PDE Seminar,1,1,1
38601b-7a378a-98,"University at Albany, SUNY",Mathematics,Colloquium,0,0,0
387938-fbda47-26,University of Chicago,Mathematics,Algebraic Topology Seminar,0,1,2
3898e8-88b793-0c,University of Rochester,Physics,Quantum Optics Seminar,0,1,1
38c0a3-a91cf7-08,Northwestern University,Computer Science,CS Colloquium Series,0,0,0
38d065-1f37d7-bc,"University of California, Santa Cruz",Physics,Santa Cruz Institute for Particle Physics Seminar,1,1,1
38e02e-14c170-16,Georgia Institute of Technology,Chemistry,Divisional Seminar,1,1,1
390d1f-19dc2b-96,University of Louisiana at Lafayette,Mathematics,Applied Mathematics Seminar,0,1,1
390fc3-1803cf-5a,Stanford University,Mathematics,Probability Seminar,1,0,0
391871-9e99d4-be,Purdue University,Physics,Physics Education Research Seminar,0,0,0
39321f-ede49a-c5,Colorado State University,Mathematics,Rocky Mountain Algebraic Combinatorics Seminar,1,1,1
395f3e-8895d8-35,University of Massachusetts Amherst,Mathematics,Mathematical & Computational Biology Seminar Series,0,1,1
3989f4-ab5b0f-1e,University of Massachusetts Amherst,Chemistry,Chemistry Seminars,0,1,1
398a4e-1d36c2-ad,University of Tennessee,Mathematics,PDE Seminar,0,1,1
39aa8f-a98676-c3,Tufts University,Mathematics,Computational & Applied Math Seminar,0,0,0
39ac30-8bfa14-e5,Iowa State University,Physics,Colloquium,1,0,0
3a7e6a-f4da6f-cf,"University of California, Riverside",Computer Science,Colloquium,0,0,0
3a99f9-c530ab-fc,Rutgers University-New Brunswick,Mathematics,Experimental Mathematics Seminar,0,1,1
3aa523-94ac66-f1,"University of California, San Diego",Mechanical Engineering,Dynamic Systems & Controls,0,1,1
3aaf16-691128-bf,George Mason University,Mechanical Engineering,Seminars,1,0,0
3ac0e9-670256-df,Yale University,Mathematics,Friday Morning Seminar,0,0,0
3adcc6-7966ad-91,Boston University,Mathematics,Statistics and Probability Seminar,1,1,1
3ae77b-26dfcb-cb,"University of California, Davis",Mathematics,Mathematics of Data & Decisions Seminar,0,1,1
3af205-6a1314-11,Rensselaer Polytechnic Institute,Mechanical Engineering,Seminar Series,1,1,1
3b0378-b67cce-7e,"University of Maryland, College Park",Mathematics,Numerical Analysis Seminar,0,1,2
3b087b-117d60-25,"University of California, Davis",Mathematics,Featured Campus Seminars,0,1,1
3b7b7f-22a6ef-88,Brandeis University,Computer Science,Computational Linguistics and Linguistics Speaker Series,0,1,1
3b87be-092d56-37,University of Virginia,Mathematics,Galois-Grothendieck Seminar,0,0,0
3be33f-c29741-4b,Stanford University,Mathematics,Topology Seminar,1,0,0
3bfaae-2e65a5-93,Brown University,Mathematics,LCDS Seminar,0,0,0
3bfd79-3162ff-7d,Pennsylvania State University,Mathematics,Dynamical Systems Working Seminar,0,0,0
3c1ad8-2e7c58-9b,University of Denver,Chemistry,Seminars,0,0,0
3c2a38-0ca61e-4a,Harvard University,Chemistry,Harvard/MIT Inorganic Chemistry Seminar,1,0,0
3c3776-1602c0-6b,University of Memphis,Chemistry,Departmental Seminar Schedule,1,0,0
3c48d8-464bed-81,University of Alabama,Computer Science,Colloquium Series,0,0,0
3c491a-3bbe4b-59,Brandeis University,Mathematics,New England Dynamics and Number Theory Seminar,1,0,0
3c95d3-9d8946-11,University of Chicago,Computer Science,Seminar,1,0,0
3cbf2f-6c91c9-cc,University of Massachusetts Amherst,Mathematics,Learning Learning Seminar,0,1,2
3ce6fe-4618b2-83,"University of California, Davis",Mathematics,Mathematical Biology Seminar,0,1,2
3ce8ef-86e561-d2,"Graduate Center, CUNY",Mathematics,Number Theory Seminar,1,0,0
3cf243-75042c-eb,University of New Mexico,Physics,Center for Astrophysics Research and Technologies Seminar Series,0,0,0
3cf822-41a3b2-b9,Tulane University,Physics,Physics and Engineering Physics Seminars,1,1,1
3d1545-c806eb-5f,Purdue University,Physics,Physics Colloquium,0,0,0
3d4360-0d1bf4-60,Columbia University,Physics,Zeminars in Programmable Quantum Materials (ProQM),1,1,2
3d499c-542c76-3a,University of Hawaii at Manoa,Mechanical Engineering,Leadership Seminar Series,1,1,1
3dbf03-0d5e67-55,Wayne State University,Physics,Particle/Astro/Nuclear Seminars,1,0,0
3e4593-3652c8-17,Stanford University,Mathematics,Algebraic Geometry Seminar,1,1,1
3e6050-369647-1c,Cornell University,Mathematics,Probability Seminar,0,1,2
3e73f0-f83dc5-01,University of Pennsylvania,Computer Science,Penn Institute for Computational Science Colloquium Series,1,1,2
3e86dd-fe25ad-c7,University of Utah,Mathematics,Commutative Algebra,1,0,0
3e9d38-c2423f-ed,Princeton University,Mathematics,Differential Geometry & Geometric Analysis Seminar,0,0,0
3ea741-6f1bfe-35,Princeton University,Chemistry,Inorganic Chemistry,1,1,1
3eb2d1-f43d48-3d,"University of California, Irvine",Physics,Plasma and Optics Seminar,1,0,0
3ed1e4-abc2aa-bd,University of Georgia,Mathematics,Algebra,1,0,0
3edce7-18d358-3a,Massachusetts Institute of Technology,Mathematics,Integrable Probability Working Group,0,1,2
3efd7d-7da279-ff,Arizona State University,Mathematics,Colloquium,0,1,1
3f4eff-e104a0-47,Rutgers University-New Brunswick,Physics,Institute for Quantitative Biomedicine,0,1,1
3f54f1-10440b-4c,University of Tennessee,Mathematics,Analysis Seminar,0,1,1
3f5f0b-21cb22-53,"University of Maryland, Baltimore County",Physics,Topical Seminar,0,1,1
3f68f9-1cf0e6-72,Boston University,Computer Science,Computer Science Research Seminar Series,1,1,1
3f8c76-8da1b9-43,Ohio State University,Physics,Nuclear Physics,1,0,0
3f95a2-5b5d96-37,West Virginia University,Physics,Colloquium,1,1,1
3fae5c-726137-ca,"University of California, Irvine",Mathematics,Algebra Seminar,0,1,1
3fca95-1d876b-82,New York University,Physics,Soft Condensed Matter Seminars,1,1,1
400d91-a09426-a3,University of Illinois Chicago,Physics,Condensed Matter Seminar,1,0,0
403b90-31856d-4c,University of Oregon,Physics,Physics Colloquium,0,0,0
4076c4-c4c032-ab,University of Colorado Boulder,Mathematics,Topology Seminar,0,0,0
4078ea-b63d6e-72,University of Delaware,Mathematics,Applied Mathematics and Mathematical Medicine and Biology Seminar,1,0,0
408523-7e4bbb-19,University of Florida,Mathematics,Biomathematics Seminar,0,1,1
40962c-1e0e29-55,University of Utah,Physics,Colloquia,0,0,0
40a1fc-f5e8f0-7f,University of Massachusetts Amherst,Mathematics,Reading Seminar in Algebraic Geometry,0,1,1
40bbe4-0c2a19-65,University of Illinois Urbana-Champaign,Physics,Nuclear Physics Seminar,1,1,2
410865-4537f2-98,"University of California, Los Angeles",Mathematics,Financial and Actuarial Mathematics Seminar,0,0,0
412528-cf2623-bb,University of Washington,Mathematics,Topology Seminar,1,1,1
