seminar_link,university,department,seminar name,university,department,seminar name
https://cos.northeastern.edu/events/quantum-matter-seminar-peter-meisenheimer-uc-berkeley/,Northeastern University,Physics,Quantum Matter Seminar,Northeastern University,Physics,Quantum Matter Seminar
https://as.tufts.edu/physics/tufts-institute-cosmology/seminars,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://cpsc.yale.edu/calendar,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://cs.gmu.edu/events/list/cs-seminar/,George Mason University,Computer Science,CS Seminar,George Mason University,Computer Science,CS Seminar
https://cs.ua.edu/research/#colloquium,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://csc.as.miami.edu/announcements/colloquia/index.html,University of Miami,Computer Science,Colloquia,University of Miami,Computer Science,Colloquia
https://cse.engin.umich.edu/events/all-seminars/artificial-intelligence/,University of Michigan,Computer Science,Artificial Intelligence Seminars,University of Michigan,Computer Science,Artificial Intelligence Seminars
https://cse.engin.umich.edu/events/all-seminars/computer-engineering/,University of Michigan,Computer Science,Computer Engineering Seminars,University of Michigan,Computer Science,Computer Engineering Seminars
https://cse.engin.umich.edu/events/all-seminars/other-seminars/,University of Michigan,Computer Science,CSE Seminars,University of Michigan,Computer Science,CSE Seminars
https://cse.engin.umich.edu/events/all-seminars/systems/,University of Michigan,Computer Science,Systems Seminars,University of Michigan,Computer Science,Systems Seminars
https://cse.engin.umich.edu/events/all-seminars/women-in-computing/,University of Michigan,Computer Science,Diversity in Computing Seminars,University of Michigan,Computer Science,Diversity in Computing Seminars
https://cse.engin.umich.edu/events/distinguished-lectures/cse-distinguished-lecture-series/,University of Michigan,Computer Science,CSE Distinguished Lecture Series,University of Michigan,Computer Science,CSE Distinguished Lecture Series
https://csefoundations.engineering.nyu.edu/seminar.html,New York University,Computer Science,Theory Seminar,New York University,Computer Science,Theory Seminar
https://cua.mit.edu/event-type/cua-seminar-series/,Harvard University,Physics,CUA Seminar Series,Harvard University,Physics,CUA Seminar Series
https://daremalectures.physics.ucdavis.edu/speakers/,"University of California, Davis",Physics,Frederica Darema Lecture Series,"University of California, Davis",Physics,Frederica Darema Lecture Series
https://drexel.edu/engineering/academics/departments/mechanical-engineering/events/seminar-series/,Drexel University,Mechanical Engineering,Seminar Series,Drexel University,Mechanical Engineering,Seminar Series
https://ece.engin.umich.edu/events/distinguished-lectures/ece-distinguished-seminar-series/,University of Michigan,Computer Science,Electrical and Computer Engineering Distinguished Seminar Series,University of Michigan,Computer Science,Electrical and Computer Engineering Distinguished Seminar Series
https://ece.ncsu.edu/research/seminars/,North Carolina State University,Computer Science,ECE Distinguished Speaker Colloquium,North Carolina State University,Computer Science,ECE Distinguished Speaker Colloquium
https://emilyriehl.github.io/seminar/,Johns Hopkins University,Mathematics,Category Theory Seminar,Johns Hopkins University,Mathematics,Category Theory Seminar
https://eng.auburn.edu/aero/research/seminars/#gsc.tab=0,Auburn University,Mechanical Engineering,Jack and Ann Waddey Invited Seminar Series,Auburn University,Mechanical Engineering,Jack and Ann Waddey Invited Seminar Series
https://eng.auburn.edu/ai-au/forum#fall-2023-forum,Auburn University,Computer Science,AI@AU Forum,Auburn University,Computer Science,AI@AU Forum
https://engineering.buffalo.edu/computer-science-engineering/news-and-events/events/cse-symposia.html,University at Buffalo,Computer Science,CSE Symposia,University at Buffalo,Computer Science,CSE Symposia
https://engineering.buffalo.edu/computer-science-engineering/news-and-events/events/cse-distinguished-speaker-series.html#2022-2023,University at Buffalo,Computer Science,CSE Distinguished Speaker Series,University at Buffalo,Computer Science,CSE Distinguished Speaker Series
https://engineering.buffalo.edu/mechanical-aerospace/news-and-events/seminars.html,University at Buffalo,Mechanical Engineering,MAE Seminar Series,University at Buffalo,Mechanical Engineering,MAE Seminar Series
https://engineering.case.edu/computer-and-data-sciences/colloquia-series-1,Case Western Reserve University,Computer Science,ECSE Collloquium Series,Case Western Reserve University,Computer Science,ECSE Collloquium Series
https://engineering.jhu.edu/ceafm/seminar-series-spring-2024/,Johns Hopkins University,Mechanical Engineering,Environmental and Applied Fluid Mechanics Seminar Series (CEAFM),Johns Hopkins University,Mechanical Engineering,Environmental and Applied Fluid Mechanics Seminar Series (CEAFM)
https://engineering.louisiana.edu/news-events/events/20190221/mche-seminar-series,University of Louisiana at Lafayette,Mechanical Engineering,MCHE Seminar Series,University of Louisiana at Lafayette,Mechanical Engineering,MCHE Seminar Series
https://engineering.missouri.edu/departments/chbme/seminar-series/,University of Missouri,Chemistry,Chemical and Biomedical Engineering Seminar Series,University of Missouri,Chemistry,Chemical and Biomedical Engineering Seminar Series
https://engineering.missouri.edu/departments/chbme/seminar-series/fall-2023-seminar-series/,University of Missouri,Mechanical Engineering,Seminar Series - Mizzou Engineering,University of Missouri,Mechanical Engineering,Seminar Series - Mizzou Engineering
https://engineering.purdue.edu/ME/Seminars,Purdue University,Mechanical Engineering,Purdue ME Distinguished Seminar Series,Purdue University,Mechanical Engineering,Purdue ME Distinguished Seminar Series
https://engineering.tamu.edu/cse/research/seminars/distinguished-lecture/index.html,Texas A&M University,Computer Science,Distinguished Lectures,Texas A&M University,Computer Science,Distinguished Lectures
https://enme.umd.edu/events/me-seminar-series,"University of Maryland, College Park",Mechanical Engineering,Mechanical Engineering Seminar Series,"University of Maryland, College Park",Mechanical Engineering,Mechanical Engineering Seminar Series
https://erkaobao.github.io/math/activities/gt2024fall,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://events.brown.edu/computer-science/event/275969-peng-zhang-partitioning-a-special-class-of-cayley,Brown University,Computer Science,Department Seminars,Brown University,Computer Science,Department Seminars
https://events.brown.edu/engineering/all,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://events.brown.edu/engineering/all,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://events.louisville.edu/event/computer_science_and_engineering_phd_seminar_series,University of Louisville,Computer Science,Computer Science and Engineering PhD Seminar Series,University of Louisville,Computer Science,Computer Science and Engineering PhD Seminar Series
https://engineering.louisville.edu/events/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://events.uchicago.edu/chem/month/date/20230901,University of Chicago,Chemistry,Chemistry Colloquia,University of Chicago,Chemistry,Chemistry Colloquia
https://events.uiowa.edu/?d=20230821&f=337,University of Iowa,Physics,Seminars,University of Iowa,Physics,Seminars
https://events.wayne.edu/2023/11/01/ece-seminar-modern-approaches-to-powergrid-resiliency-97749/,Wayne State University,Mechanical Engineering,ECE Seminar,Wayne State University,Mechanical Engineering,ECE Seminar
https://events.wayne.edu/main/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://events.wayne.edu/2023/12/01/pan-seminar-gregoire-pihan-wayne-state-97448/,Wayne State University,Physics,Particle/Astro/Nuclear Seminars,Wayne State University,Physics,Particle/Astro/Nuclear Seminars
https://events.wayne.edu/category/seminar/2024-08-21/2024-09-21/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://events.wayne.edu/chemistry-frontiers/2023/12/,Wayne State University,Chemistry,Frontiers Seminar,Wayne State University,Chemistry,Frontiers Seminar
https://events.wayne.edu/chemistry-organic-biochem/2023/09/,Wayne State University,Chemistry,Organic and Biochemistry,Wayne State University,Chemistry,Organic and Biochemistry
https://groups.cs.umass.edu/theory/theory-seminar/,University of Massachusetts Amherst,Computer Science,Theory Seminar,University of Massachusetts Amherst,Computer Science,Theory Seminar
https://heapsem.pa.ucla.edu/,"University of California, Los Angeles",Physics,HEAP Seminars,"University of California, Los Angeles",Physics,HEAP Seminars
https://hilbert.math.wisc.edu/logic/seminar.html,University of Wisconsin-Madison,Mathematics,Logic,University of Wisconsin-Madison,Mathematics,Logic
https://hilbert.math.wisc.edu/wiki/index.php/Madison_Math_Circle,University of Wisconsin-Madison,Mathematics,Math Circles,University of Wisconsin-Madison,Mathematics,Math Circles
https://hilbert.math.wisc.edu/wiki/index.php/PDE_Geometric_Analysis_seminar,University of Wisconsin-Madison,Mathematics,PDE Geometric Analysis Seminar,University of Wisconsin-Madison,Mathematics,PDE Geometric Analysis Seminar
https://hilbert.math.wisc.edu/~terwilli/combsemsched.html,University of Wisconsin-Madison,Mathematics,Combinatorics,University of Wisconsin-Madison,Mathematics,Combinatorics
https://iqb.rutgers.edu/seminars,Rutgers University-New Brunswick,Physics,Institute for Quantitative Biomedicine,Rutgers University-New Brunswick,Physics,Institute for Quantitative Biomedicine
https://isg.ics.uci.edu/talks/,"University of California, Irvine",Computer Science,Information Systems Group Talks,"University of California, Irvine",Computer Science,Information Systems Group Talks
https://itrummer.github.io/cornelldbseminar/,Cornell University,Computer Science,Database Seminar,Cornell University,Computer Science,Database Seminar
https://jfi.uchicago.edu/events/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://jhu-top-seminar.github.io/,Johns Hopkins University,Mathematics,Topology Seminar,Johns Hopkins University,Mathematics,Topology Seminar
https://jrm.phys.ksu.edu/Seminars/seminar.asp,Kansas State University,Physics,AMO Seminars,Kansas State University,Physics,AMO Seminars
https://kaman.uark.edu/appliedmathseminar/,University of Arkansas,Mathematics,Applied Mathematics Seminar,University of Arkansas,Mathematics,Applied Mathematics Seminar
https://le334.physics.msstate.edu/Colloquium.html,Mississippi State University,Physics,Colloquium,Mississippi State University,Physics,Colloquium
https://logic.math.caltech.edu/,California Institute of Technology,Mathematics,Logic Seminars,California Institute of Technology,Mathematics,Logic Seminars
https://louisville.edu/chemistry/seminars-lectures/faculty-student,University of Louisville,Chemistry,Faculty Seminars,University of Louisville,Chemistry,Faculty Seminars
https://louisville.edu/math/seminars,University of Louisville,Mathematics,Mathematical Biology Seminar,University of Louisville,Mathematics,Mathematical Biology Seminar
https://louisville.edu/physics/events/physics-colloquium-current,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://mad.cds.nyu.edu/micsem/,New York University,Mathematics,"Mathematics, Information, and Computation (MIC) Seminar",New York University,Mathematics,"Mathematics, Information, and Computation (MIC) Seminar"
https://mad.cds.nyu.edu/seminar/,New York University,Mathematics,MaD Seminar,New York University,Mathematics,MaD Seminar
https://math.berkeley.edu/about/events/lectures/chern,"University of California, Berkeley",Mathematics,Chern Lectures,"University of California, Berkeley",Mathematics,Chern Lectures
https://math.berkeley.edu/about/events/lectures/serge-lang,"University of California, Berkeley",Mathematics,Serge Lang Lectures,"University of California, Berkeley",Mathematics,Serge Lang Lectures
https://math.berkeley.edu/about/upcoming-events/department-colloquium/fall-2023-colloquium,"University of California, Berkeley",Mathematics,Colloquium,"University of California, Berkeley",Mathematics,Colloquium
https://math.bu.edu/dynamics/seminar.html,Boston University,Mathematics,Dynamical Systems Seminar,Boston University,Mathematics,Dynamical Systems Seminar
https://math.bu.edu/research/algebra/seminar.html,Boston University,Mathematics,Number Theory Seminars,Boston University,Mathematics,Number Theory Seminars
