department,num_email_recipients,num_female_recipients,pct_female_recipients,num_urm_recipients,pct_urm_recipients,num_black_recipients,pct_black_recipients,num_hispanic_recipients,pct_hispanic_recipients,num_assistant_prof_recipients,pct_assistant_prof_recipients,department_clean
Georgetown University-Physics,2,2,1.0,1,0.5,0,0.0,1,0.5,0,0.0,Physics-Georgetown University
Georgia Institute of Technology-Chemistry,2,1,0.5,1,0.5,1,0.5,0,0.0,0,0.0,Chemistry-Georgia Institute of Technology
Georgia Institute of Technology-Computer Science,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Computer Science-Georgia Institute of Technology
Georgia Institute of Technology-Mechanical Engineering,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Mechanical Engineering-Georgia Institute of Technology
Georgia Institute of Technology-Physics,2,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,Physics-Georgia Institute of Technology
Georgia State University-Chemistry,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Chemistry-Georgia State University
Georgia State University-Physics,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Physics-Georgia State University
"Graduate Center, CUNY-Mathematics",32,1,0.0312,2,0.0625,0,0.0,2,0.0625,0,0.0,"Mathematics-Graduate Center, CUNY"
"Graduate Center, CUNY-Mechanical Engineering",2,1,0.5,1,0.5,0,0.0,1,0.5,0,0.0,"Mechanical Engineering-Graduate Center, CUNY"
Harvard University-Chemistry,2,1,0.5,1,0.5,0,0.0,1,0.5,0,0.0,Chemistry-Harvard University
Harvard University-Computer Science,4,3,0.75,0,0.0,0,0.0,0,0.0,0,0.0,Computer Science-Harvard University
Harvard University-Mechanical Engineering,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Mechanical Engineering-Harvard University
Harvard University-Physics,5,2,0.4,1,0.2,0,0.0,1,0.2,0,0.0,Physics-Harvard University
Indiana University Bloomington-Chemistry,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Chemistry-Indiana University Bloomington
Indiana University Bloomington-Mathematics,4,2,0.5,2,0.5,0,0.0,2,0.5,0,0.0,Mathematics-Indiana University Bloomington
Indiana University Bloomington-Physics,4,1,0.25,0,0.0,0,0.0,0,0.0,0,0.0,Physics-Indiana University Bloomington
Iowa State University-Chemistry,2,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,Chemistry-Iowa State University
Iowa State University-Computer Science,2,1,0.5,1,0.5,1,0.5,0,0.0,0,0.0,Computer Science-Iowa State University
Iowa State University-Mathematics,9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Mathematics-Iowa State University
Iowa State University-Mechanical Engineering,2,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,Mechanical Engineering-Iowa State University
Iowa State University-Physics,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Physics-Iowa State University
Johns Hopkins University-Chemistry,2,1,0.5,1,0.5,0,0.0,1,0.5,0,0.0,Chemistry-Johns Hopkins University
Johns Hopkins University-Computer Science,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Computer Science-Johns Hopkins University
Johns Hopkins University-Mathematics,11,1,0.0909,0,0.0,0,0.0,0,0.0,0,0.0,Mathematics-Johns Hopkins University
Johns Hopkins University-Mechanical Engineering,3,1,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,Mechanical Engineering-Johns Hopkins University
Johns Hopkins University-Physics,3,1,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,Physics-Johns Hopkins University
Kansas State University-Chemistry,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Chemistry-Kansas State University
Kansas State University-Mathematics,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Mathematics-Kansas State University
Kansas State University-Physics,4,1,0.25,0,0.0,0,0.0,0,0.0,0,0.0,Physics-Kansas State University
Kent State University-Chemistry,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Chemistry-Kent State University
Kent State University-Mathematics,4,1,0.25,0,0.0,0,0.0,0,0.0,0,0.0,Mathematics-Kent State University
Kent State University-Physics,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Physics-Kent State University
Louisiana State University-Chemistry,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Chemistry-Louisiana State University
Louisiana State University-Computer Science,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Computer Science-Louisiana State University
Louisiana State University-Mathematics,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Mathematics-Louisiana State University
Louisiana State University-Physics,2,1,0.5,1,0.5,1,0.5,0,0.0,0,0.0,Physics-Louisiana State University
Massachusetts Institute of Technology-Chemistry,5,2,0.4,1,0.2,1,0.2,0,0.0,0,0.0,Chemistry-Massachusetts Institute of Technology
Massachusetts Institute of Technology-Computer Science,8,2,0.25,1,0.125,0,0.0,1,0.125,0,0.0,Computer Science-Massachusetts Institute of Technology
Massachusetts Institute of Technology-Mathematics,18,1,0.0556,1,0.0556,0,0.0,1,0.0556,0,0.0,Mathematics-Massachusetts Institute of Technology
Massachusetts Institute of Technology-Mechanical Engineering,3,1,0.3333,1,0.3333,1,0.3333,0,0.0,0,0.0,Mechanical Engineering-Massachusetts Institute of Technology
Massachusetts Institute of Technology-Physics,7,2,0.2857,2,0.2857,0,0.0,2,0.2857,0,0.0,Physics-Massachusetts Institute of Technology
Michigan State University-Chemistry,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Chemistry-Michigan State University
Michigan State University-Computer Science,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Computer Science-Michigan State University
Michigan State University-Mathematics,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Mathematics-Michigan State University
Michigan State University-Physics,3,1,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,Physics-Michigan State University
Mississippi State University-Chemistry,2,2,1.0,1,0.5,1,0.5,0,0.0,0,0.0,Chemistry-Mississippi State University
Mississippi State University-Computer Science,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Computer Science-Mississippi State University
Mississippi State University-Mathematics,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Mathematics-Mississippi State University
