department,num_female_urm,num_female_total,pct_urm_among_female,treatment,bin_category
University of Colorado Boulder-Mechanical Engineering,0,1,0.0,0.0,"(1,3]"
University of Colorado Denver-Mathematics,0,1,0.0,1.0,"(1,3]"
University of Connecticut-Chemistry,0,1,0.0,1.0,"[0,1]"
University of Connecticut-Mechanical Engineering,0,1,0.0,1.0,"[0,1]"
University of Connecticut-Physics,0,1,0.0,1.0,"(3,5]"
University of Delaware-Computer Science,1,1,1.0,1.0,"[0,1]"
University of Delaware-Mechanical Engineering,0,1,0.0,0.0,"[0,1]"
University of Delaware-Physics,1,1,1.0,1.0,"(5,7]"
University of Hawaii at Manoa-Physics,0,1,0.0,0.0,"[0,1]"
University of Illinois Urbana-Champaign-Computer Science,0,1,0.0,1.0,"[0,1]"
University of Illinois Urbana-Champaign-Mathematics,0,1,0.0,1.0,"[0,1]"
University of Iowa-Chemistry,0,1,0.0,0.0,"(1,3]"
University of Iowa-Physics,0,1,0.0,0.0,"[0,1]"
University of Kansas-Chemistry,0,1,0.0,0.0,"(3,5]"
University of Louisiana at Lafayette-Physics,0,1,0.0,1.0,"[0,1]"
University of Louisville-Computer Science,0,1,0.0,0.0,"[0,1]"
"University of Maryland, College Park-Computer Science",0,1,0.0,1.0,"(3,5]"
University of Memphis-Mathematics,0,1,0.0,0.0,"(3,5]"
University of Memphis-Physics,0,1,0.0,1.0,"[0,1]"
University of Michigan-Computer Science,0,3,0.0,1.0,"(7,11]"
University of Michigan-Mathematics,0,2,0.0,1.0,"(17,26]"
University of Michigan-Mechanical Engineering,0,2,0.0,1.0,"[0,1]"
University of Minnesota-Chemistry,0,1,0.0,0.0,"(1,3]"
University of Missouri-Chemistry,0,1,0.0,1.0,"(1,3]"
University of Nebraska-Lincoln-Mathematics,0,1,0.0,0.0,"[0,1]"
University of New Mexico-Computer Science,1,1,1.0,1.0,"[0,1]"
University of New Mexico-Mathematics,0,1,0.0,0.0,"(3,5]"
University of Notre Dame-Chemistry,0,1,0.0,1.0,"(1,3]"
University of Oklahoma-Chemistry,0,1,0.0,1.0,"[0,1]"
University of Pennsylvania-Chemistry,0,1,0.0,1.0,"(3,5]"
University of Pennsylvania-Computer Science,1,2,0.5,1.0,"(1,3]"
University of Pennsylvania-Mathematics,1,2,0.5,0.0,"(7,11]"
University of Pittsburgh-Chemistry,0,1,0.0,0.0,"[0,1]"
University of Pittsburgh-Computer Science,0,1,0.0,1.0,"[0,1]"
University of Pittsburgh-Physics,0,1,0.0,1.0,"(1,3]"
University of Rochester-Chemistry,0,1,0.0,1.0,"(3,5]"
University of Rochester-Mechanical Engineering,0,1,0.0,1.0,"[0,1]"
University of Rochester-Physics,0,1,0.0,0.0,"(1,3]"
University of South Carolina-Mathematics,0,2,0.0,0.0,"(5,7]"
University of South Carolina-Physics,0,1,0.0,0.0,"[0,1]"
University of South Florida-Mathematics,0,1,0.0,0.0,"(3,5]"
University of South Florida-Mechanical Engineering,1,2,0.5,1.0,"[0,1]"
University of Southern California-Physics,0,1,0.0,1.0,"(1,3]"
University of Tennessee-Chemistry,0,1,0.0,0.0,"[0,1]"
University of Tennessee-Mechanical Engineering,0,1,0.0,,
University of Texas at Arlington-Chemistry,0,1,0.0,1.0,"[0,1]"
University of Texas at Arlington-Mathematics,1,1,1.0,0.0,"(1,3]"
University of Texas at Arlington-Physics,1,1,1.0,0.0,"[0,1]"
University of Texas at Austin-Computer Science,0,2,0.0,1.0,"(1,3]"
University of Texas at Dallas-Chemistry,1,2,0.5,0.0,"(1,3]"
University of Texas at Dallas-Mechanical Engineering,0,1,0.0,,
University of Texas at El Paso-Mathematics,1,1,1.0,0.0,"[0,1]"
University of Texas at San Antonio-Chemistry,0,1,0.0,1.0,"[0,1]"
University of Texas at San Antonio-Physics,0,1,0.0,1.0,"[0,1]"
University of Virginia-Chemistry,0,1,0.0,0.0,"[0,1]"
University of Virginia-Physics,0,1,0.0,0.0,"(5,7]"
University of Washington-Chemistry,0,1,0.0,0.0,"[0,1]"
University of Washington-Computer Science,0,1,0.0,1.0,"[0,1]"
University of Wisconsin-Milwaukee-Computer Science,0,1,0.0,,
Utah State University-Mechanical Engineering,0,1,0.0,1.0,"[0,1]"
Vanderbilt University-Chemistry,0,1,0.0,1.0,"[0,1]"
Vanderbilt University-Mechanical Engineering,0,1,0.0,0.0,"[0,1]"
Vanderbilt University-Physics,0,1,0.0,0.0,"[0,1]"
Virginia Commonwealth University-Chemistry,0,1,0.0,1.0,"[0,1]"
Virginia Commonwealth University-Mathematics,0,2,0.0,1.0,"(5,7]"
Virginia Tech-Chemistry,0,1,0.0,1.0,"[0,1]"
Virginia Tech-Mathematics,0,1,0.0,0.0,"(5,7]"
Virginia Tech-Mechanical Engineering,0,1,0.0,0.0,"(1,3]"
Washington University in St. Louis-Chemistry,0,1,0.0,1.0,"[0,1]"
Wayne State University-Mechanical Engineering,0,1,0.0,0.0,"[0,1]"
West Virginia University-Mathematics,0,1,0.0,1.0,"(1,3]"
West Virginia University-Physics,0,1,0.0,1.0,"[0,1]"
Yale University-Computer Science,0,1,0.0,0.0,"[0,1]"
