seminar_id,university,discipline,condition,total_speakers,unique_speakers,speakers_from_db,urm_from_db,black_from_db,hispanic_from_db,female_from_db,pct_from_db,pct_urm_from_db,pct_black_from_db,pct_hispanic_from_db,pct_female_from_db,any_from_db,any_urm_from_db,any_black_from_db,any_hispanic_from_db,any_female_from_db
be7c55-fd0fad-f8,Rutgers University-New Brunswick,Mathematics,control,17,17,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
beee17-0a7c45-e6,Georgia State University,Physics,control,18,18,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
bf1a8c-9c8b93-02,University of Alabama at Birmingham,Chemistry,treatment,21,21,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
bf8213-0fc894-fa,Stony Brook University,Mathematics,control,15,13,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
bf864a-130847-86,Tufts University,Mathematics,control,12,11,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
bfc62c-1aeb6b-09,Oklahoma State University-Stillwater,Mathematics,control,10,7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
bfd699-0d7bc9-a9,University of South Carolina,Mathematics,control,21,21,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c017dc-96bbb1-8f,Washington University in St. Louis,Physics,control,12,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c02109-2cd04d-25,Pennsylvania State University,Mathematics,control,2,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c07852-d1d5bc-bf,Washington University in St. Louis,Mathematics,treatment,6,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c079a1-0f99fc-a5,"University of California, San Diego",Mathematics,treatment,4,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c07d4f-a98325-91,"University of California, San Diego",Chemistry,control,25,25,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c0923a-a93022-4e,Louisiana State University,Mathematics,treatment,3,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
c0b0d5-bde040-dc,Princeton University,Mathematics,control,9,9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
