department,condition,clicked,total_clicks,num_emails
Case Western Reserve University-Mathematics,treatment,0,0,1
Montana State University-Computer Science,control,0,0,1
University of Southern California-Physics,treatment,0,0,1
University of North Carolina at Chapel Hill-Chemistry,control,0,0,1
Old Dominion University-Chemistry,treatment,0,0,1
University of Florida-Physics,control,0,0,1
Florida International University-Chemistry,treatment,1,3,1
University of North Carolina at Chapel Hill-Physics,treatment,0,0,1
University of Iowa-Mathematics,control,1,1,1
Georgia Institute of Technology-Computer Science,treatment,0,0,1
Pennsylvania State University-Mechanical Engineering,control,0,0,1
University of Cincinnati-Chemistry,control,0,0,1
University of Florida-Computer Science,treatment,0,0,1
Oregon State University-Mathematics,treatment,0,0,1
Yale University-Physics,treatment,1,2,1
University of Central Florida-Physics,treatment,0,0,1
University of Rochester-Chemistry,treatment,0,0,1
University at Buffalo-Chemistry,control,0,0,1
"University of Maryland, College Park-Computer Science",treatment,0,0,1
Kent State University-Chemistry,treatment,0,0,1
Texas A&M University-Chemistry,treatment,0,0,1
University of Southern California-Chemistry,control,0,0,1
University of Illinois Chicago-Chemistry,treatment,0,0,1
"University of Maryland, Baltimore County-Mathematics",treatment,0,0,1
Massachusetts Institute of Technology-Mechanical Engineering,treatment,1,1,1
University of Colorado Boulder-Chemistry,treatment,1,2,1
University at Buffalo-Physics,treatment,0,0,1
Indiana University Bloomington-Physics,control,0,0,1
University of Louisiana at Lafayette-Physics,treatment,0,0,1
Boston University-Mechanical Engineering,control,0,0,1
University of Utah-Mechanical Engineering,control,0,0,1
Kansas State University-Chemistry,treatment,0,0,1
West Virginia University-Chemistry,treatment,0,0,1
University of Illinois Urbana-Champaign-Mathematics,treatment,0,0,1
University of Texas at Austin-Computer Science,treatment,0,0,1
University of New Mexico-Chemistry,control,0,0,1
Columbia University-Mechanical Engineering,treatment,0,0,1
New Jersey Institute of Technology-Computer Science,control,0,0,1
"University of California, Berkeley-Physics",control,0,0,1
University of North Texas-Mathematics,treatment,0,0,1
University of Alabama in Huntsville-Physics,control,0,0,1
Texas A&M University-Computer Science,control,0,0,1
University of Kansas-Physics,control,0,0,1
Rice University-Physics,treatment,0,0,1
Texas Tech University-Computer Science,treatment,1,2,1
Michigan State University-Mathematics,control,1,1,1
Virginia Commonwealth University-Chemistry,treatment,1,2,1
University of South Florida-Computer Science,control,0,0,1
Florida State University-Physics,control,0,0,1
University of Denver-Mathematics,control,1,2,1
Cornell University-Mechanical Engineering,control,0,0,1
Wayne State University-Mathematics,control,0,0,1
Princeton University-Physics,control,0,0,1
Rutgers University-New Brunswick-Computer Science,treatment,0,0,1
University of Texas at Arlington-Mathematics,control,0,0,1
Tufts University-Chemistry,treatment,0,0,1
University of North Texas-Mechanical Engineering,treatment,0,0,1
Washington University in St. Louis-Mathematics,treatment,1,3,1
Florida State University-Chemistry,control,1,1,1
"University of California, Irvine-Chemistry",control,0,0,1
Louisiana State University-Chemistry,treatment,0,0,1
Brown University-Chemistry,control,0,0,1
University of Nebraska-Lincoln-Computer Science,control,0,0,1
Colorado School of Mines-Mechanical Engineering,control,1,1,1
University of Illinois Urbana-Champaign-Computer Science,treatment,0,0,1
"Graduate Center, CUNY-Mechanical Engineering",treatment,0,0,1
North Carolina State University-Chemistry,control,0,0,1
Washington State University-Computer Science,treatment,0,0,1
University of Kansas-Mathematics,control,0,0,1
University of Kentucky-Computer Science,treatment,0,0,1
University of Oregon-Mathematics,treatment,1,1,1
Rice University-Computer Science,control,0,0,1
Dartmouth College-Chemistry,treatment,0,0,1
Tufts University-Computer Science,control,0,0,1
"University of California, Santa Barbara-Physics",control,0,0,1
University of Pittsburgh-Computer Science,treatment,0,0,1
Georgia Institute of Technology-Mechanical Engineering,control,0,0,1
University of Southern California-Mechanical Engineering,control,1,1,1
Rutgers University-New Brunswick-Chemistry,treatment,0,0,1
Cornell University-Chemistry,control,1,2,1
Columbia University-Chemistry,treatment,0,0,1
University of Pennsylvania-Chemistry,treatment,1,4,1
Old Dominion University-Computer Science,control,0,0,1
Ohio University-Chemistry,control,0,0,1
Mississippi State University-Physics,treatment,0,0,1
University of Alabama-Physics,control,0,0,1
Colorado School of Mines-Computer Science,control,0,0,1
University of Maine-Mathematics,control,0,0,1
Louisiana State University-Physics,control,0,0,1
University of New Hampshire-Mathematics,treatment,0,0,1
Colorado School of Mines-Chemistry,control,1,1,1
University of South Florida-Mechanical Engineering,treatment,0,0,1
Washington University in St. Louis-Mechanical Engineering,control,0,0,1
Northeastern University-Computer Science,treatment,1,1,1
Kent State University-Physics,control,0,0,1
University of North Carolina at Chapel Hill-Computer Science,control,0,0,1
University of Florida-Mechanical Engineering,treatment,0,0,1
Binghamton University-Computer Science,control,1,1,1
University of Washington-Physics,treatment,0,0,1
Duke University-Computer Science,treatment,0,0,1
West Virginia University-Mathematics,treatment,0,0,1
University of Kentucky-Physics,control,0,0,1
Baylor University-Mathematics,control,0,0,1
University of Arizona-Mechanical Engineering,control,0,0,1
"University of California, Santa Barbara-Mathematics",control,0,0,1
University of Colorado Denver-Chemistry,treatment,1,1,1
George Mason University-Physics,control,0,0,1
Princeton University-Mechanical Engineering,control,0,0,1
University of Louisiana at Lafayette-Computer Science,treatment,0,0,1
Purdue University-Computer Science,treatment,0,0,1
Old Dominion University-Physics,control,1,2,1
"University of California, Berkeley-Mechanical Engineering",control,1,1,1
Case Western Reserve University-Physics,control,0,0,1
Virginia Commonwealth University-Mathematics,treatment,0,0,1
University of Mississippi-Mathematics,treatment,0,0,1
Colorado School of Mines-Mathematics,control,0,0,1
Washington State University-Mathematics,treatment,0,0,1
University of Arkansas-Chemistry,treatment,0,0,1
University of Iowa-Computer Science,control,1,1,1
Utah State University-Physics,treatment,0,0,1
University of Pittsburgh-Physics,treatment,0,0,1
University of Iowa-Physics,control,0,0,1
University of Arkansas-Mathematics,treatment,0,0,1
Cornell University-Physics,control,0,0,1
Stony Brook University-Chemistry,control,0,0,1
Rensselaer Polytechnic Institute-Physics,control,1,2,1
Mississippi State University-Computer Science,control,0,0,1
New Jersey Institute of Technology-Physics,treatment,0,0,1
University of Alabama-Mathematics,control,1,1,1
University of Louisville-Mathematics,control,0,0,1
Florida State University-Computer Science,treatment,0,0,1
"University of California, Irvine-Computer Science",treatment,1,4,1
University of Houston-Physics,control,0,0,1
"University of California, Berkeley-Computer Science",control,0,0,1
Florida International University-Mathematics,treatment,0,0,1
University of Pittsburgh-Chemistry,control,0,0,1
University of Oklahoma-Chemistry,treatment,0,0,1
Montana State University-Physics,control,0,0,1
University of Missouri-Physics,treatment,0,0,1
Boston University-Chemistry,treatment,0,0,1
Stony Brook University-Computer Science,control,1,1,1
Kansas State University-Mathematics,treatment,1,3,1
University of Minnesota-Chemistry,control,0,0,1
Texas Tech University-Chemistry,treatment,0,0,1
University of Southern Mississippi-Mechanical Engineering,treatment,0,0,1
"University of Nevada, Las Vegas-Physics",treatment,0,0,1
Michigan State University-Computer Science,control,0,0,1
Auburn University-Chemistry,treatment,0,0,1
Oregon State University-Physics,control,0,0,1
Oklahoma State University-Stillwater-Chemistry,treatment,0,0,1
Northeastern University-Physics,treatment,0,0,1
New Jersey Institute of Technology-Mathematics,treatment,0,0,1
Florida State University-Mechanical Engineering,treatment,0,0,1
Purdue University-Mechanical Engineering,treatment,0,0,1
